Record_id,Title,Link,Date,Location,Occurence_type,Lat,Long,Date_range
1,Lone tusker sighted in Shiradi ghats,https://www.thehindu.com/news/cities/Mangalore/Lone-tusker-sighted-in-Shiradi-ghats/article16853513.ece,12/5/2009,Near Kempuhole Minihydel,Sighting,12.839318,75.668542,1
2,"Karnataka: Bizman, driver survive a jumbo attack at Bisle Ghat",https://bangaloremirror.indiatimes.com/news/state/bizman-driver-survive-a-jumbo-attack-at-bisle-ghat/articleshow/66436327.cms,31/10/2018,Kulkunda gate,Conflict,12.694882,75.630088,2
3,Youth dies after elephant attacks him in Bisle Ghat Road,https://timesofindia.indiatimes.com/city/mangaluru/Youth-dies-after-elephant-attacks-him-in-Bisle-Ghat-Road/articleshow/52468112.cms,27/05/2016,"DK Border, Bisle Ghat",Conflict,12.694755,75.629764,2
4,Elephant rescued in Hassan,https://www.thehindu.com/news/national/karnataka/elephant-rescued-in-hassan/article25609294.ece,28/11/2018,"Kadgaarvalli, Hassan",Conflict,12.832702," 75.717299
",2
5,Shiradi elephant herd(Karnataka),http://hosadigantha.com/archives/16915,15/02/2018,KaNaaje near Shiradi,Conflict,12.832833," 75.527221
",2
6,Shiradi elephant injured(Karnataka),https://www.prajavani.net/news/article/2017/05/16/491873.html,16/05/2017,Shiradi RF,Elephant injury,12.826816," 75.535547
",2
7,??????: ???? ??? ????,https://m.dailyhunt.in/news/india/kannada/udayavani-epaper-udayavani/shiraadi+onti+salaga+daali-newsid-85459999,4/11/2018,Shiradi village,Conflict,12.835023,75.524968,2
8,????????–?????? ??????????? ????? ????? ???????? ???? ??? ????,https://www.prajavani.net/stories/stateregional/dharmastala-kukke-route-551087.html,23/06/2018,Dharmasthala-Kukke road,Conflict,12.827245,75.432147,2
9,Wild elephants a nightmare for Mudigere villagers,https://www.deccanherald.com/content/360150/wild-elephants-nightmare-mudigere-villagers.html,29/09/2013,Mudigere,Conflict,13.128574,75.615174,2
10,Tusker kills one in Mudigere,https://www.thehindu.com/news/national/karnataka/tusker-kills-one-in-mudigere/article8322979.ece,3/7/2016,"Banakal, Mudigere",Conflict,13.132292,75.551383,2
11,Wild tusker spotted on national highway at Shiradi Ghat,https://www.thehindu.com/news/cities/Mangalore/wild-tusker-spotted-on-national-highway-at-shiradi-ghat/article26483518.ece,3/9/2019,Gundya,Sighting,12.839548,75.664215,2
12,Sulllia: Elephant feasting on its favourite food gets electrocuted,http://www.daijiworld.com/news/newsDisplay.aspx?newsID=254719,8/9/2014,Herakaje near Subramanya,Conflict,12.601731,75.48441,2
13,Woman trampled to death,https://www.deccanherald.com/content/310172/woman-trampled-death.html,5/2/2013,Kadumane,Conflict,12.919488,75.659683,2
14,Elephant tusks worth Rs 20 lakh seized,https://www.deccanherald.com/content/440618/elephant-tusks-worth-rs-20.html,10/11/2014,Kadumane,Smuggling,12.919488,75.659683,2
15,Two elephant calves run over by train deep inside Sakleshpur forest,https://timesofindia.indiatimes.com/city/mangaluru/two-elephant-calves-run-over-by-train-deep-inside-sakleshpur-forest/articleshow/64454604.cms,6/5/2018,Yedakumeri,Elephant mortality,12.830532,75.699468,2
16,Avoiding a conflict,https://www.deccanherald.com/content/342089/avoiding-conflict.html,2/7/2013,"Elaneeru, Malavantige",Conflict,13.172533,75.344801,2
17,Blog,https://freedomofhills.wordpress.com/2010/02/28/peaks-of-shiradi/,28/02/2010,Arebetta,Sign,12.801423,75.641212,1
18,Blog,https://raobharata.wordpress.com/2009/12/06/trekking-in-shiradi-ghats-venkatagiri-and-arebetta/,6/12/2009,Arebetta and Mugilagiri,Sign,12.813768,75.60276,1
19,Blog,https://www.rockyfeet.com/hangin-on-to-my-bones-tales-from-ombattu-gudda-2/,3/1/2013,Ombattu gudda,Sign,12.958516,75.580316,2
20,Video,https://www.youtube.com/watch?v=rRfzoFIjL78,11/4/2018,Belthangady,Sighting,12.99342,75.275602,2
21,Herd lives and grieves as one: 12 wild elephants join a mother in mourning,https://www.thehindu.com/news/national/karnataka/herd-lives-and-grieves-as-one/article25052114.ece,,"Kottannahalli, Sakleshpur",Elephant mortality,12.812893,75.822037,2
22,Wild tusker captured in Mudigere,https://www.thehindu.com/news/national/karnataka/wild-tusker-captured-in-mudigere/article17488013.ece,17/03/2017,Byrapura,Conflict,12.957612,75.561829,2
23,Wild tusker spotted on national highway at Shiradi Ghat,https://www.thehindu.com/news/cities/Mangalore/wild-tusker-spotted-on-national-highway-at-shiradi-ghat/article26483518.ece,9/3/2019,Shiradi Ghat,Sighting,12.827607,75.581278,2
24,Wild elephant menace back in Shiradi,https://www.deccanherald.com/content/45548/wild-elephant-menace-back-shiradi.htm,7/1/2020,Shiradi Village,Conflict,12.829303,75.531923,2
25,Wild elephant camps on Charmadi Ghat road,https://www.deccanherald.com/state/karnataka-districts/wild-elephant-camps-on-charmadi-ghat-road-822925.html,8/4/2020,Charmadi Ghat Road,Sighting,13.075963,75.471568,2
26,Wild elephants from Charmadi Ghat invade villages in Mudigere,http://www.coastaldigest.com/news/68962-wild-elephants-from-charmadi-ghat-invade-villages-in-mudigere,7/10/2014,Bidiruthala,Conflict,13.145445,75.544055,2
27,Elephant electrocuted near Subramanya in Dakshina Kannada,https://www.deccanherald.com/state/mangaluru/elephant-electrocuted-near-subramanya-in-dakshina-kannada-880828.html,01/10/2020,Kenjala,Elephant mortality,12.759173,75.577426,2
28,Elephants destroying crops, URL , 01/10/2009, Sunkasaale, Conflict, 13.159572,75.446001,1
